SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1772611995.385404, 0.172383, -0.101155, -9.841067, -0.002509, 0.004980, 0.002246
1772611995.395215, 0.185551, -0.098312, -9.790788, -0.000238, 0.005972, 0.002463
1772611995.405603, 0.187496, -0.116568, -9.845406, -0.003622, 0.005030, 0.003985
1772611995.415459, 0.174777, -0.104597, -9.772982, -0.002259, 0.007052, 0.002218
1772611995.424724, 0.158317, -0.097713, -9.841216, 0.003244, 0.009768, 0.001394
1772611995.435430, 0.179415, -0.111181, -9.801712, -0.001147, 0.007937, 0.001899
1772611995.445266, 0.178218, -0.104597, -9.823409, -0.001401, 0.006918, 0.001617
1772611995.455576, 0.176872, -0.092626, -9.820117, -0.000675, 0.006055, 0.002732
1772611995.465524, 0.194529, -0.106392, -9.809792, -0.000992, 0.007173, 0.002937
1772611995.475598, 0.176123, -0.106542, -9.829245, -0.002675, 0.005510, 0.002583
1772611995.485406, 0.177171, -0.101005, -9.806201, 0.001275, 0.005478, 0.002131
1772611995.495269, 0.183156, -0.104148, -9.802610, 0.000030, 0.008776, 0.002580
1772611995.505480, 0.192733, -0.102951, -9.802311, -0.002293, 0.003194, 0.001996
1772611995.515420, 0.193033, -0.126444, -9.803807, 0.002113, 0.005936, 0.005144
1772611995.525412, 0.187346, -0.102202, -9.828796, 0.000192, 0.007636, 0.003664
1772611995.535458, 0.179415, -0.093374, -9.802460, -0.002404, 0.006767, 0.003690
1772611995.545427, 0.180912, -0.095469, -9.805902, 0.002530, 0.006636, 0.000963
1772611995.555577, 0.206051, -0.098910, -9.811438, -0.002508, 0.008368, 0.003031
1772611995.564766, 0.196923, -0.095170, -9.823709, 0.002558, 0.007939, 0.002970
1772611995.574673, 0.190489, -0.096816, -9.822362, -0.001598, 0.007682, 0.003627
1772611995.585399, 0.178817, -0.105794, -9.793931, 0.000683, 0.007460, 0.003715
1772611995.595366, 0.194379, -0.105046, -9.802161, -0.002129, 0.007556, 0.003489
1772611995.605482, 0.187346, -0.107589, -9.814880, -0.001463, 0.002768, 0.003094
